URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/AdverseEventCode,1.1.0,draft,,AdverseEventCode,Adverse Event Code Value Set,"Adverse event codes",,"THO"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/AdverseEventGrade,1.1.0,draft,,AdverseEventGrade,Adverse Event Grade Value Set,"Adverse event grade",,"THO,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/AlgorithmicPloidy,1.1.0,draft,,AlgorithmicPloidy,Algorithmic Ploidy,"Algorithmic Ploidy",,"THO,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/AlterationType,1.1.0,draft,,AlterationType,Alteration Type Value Set,"Alteration type",,"THO,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/AminoAcideChangeType,1.1.0,draft,,AminoAcideChangeType,Amino Acide Change Type Value Set,"Amino Acide Change Type",,"LOINC,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/AnalysisType,1.1.0,draft,,AnalysisType,Analysis Types Value Set,"Analysis types",,"THO,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/BiologicalSampleNature,1.1.0,draft,,BiologicalSampleNature,Biological Sample Nature Value Set,"Biological sample nature",,"THO"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/BiologicalSampleOrigin,1.1.0,draft,,BiologicalSampleOrigin,Biological Sample Origin Value Set,"Biological sample origin",,"THO,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/BiomarkerCode,1.1.0,draft,,BiomarkerCode,Biomarker Value Set,"Biomarker types",,"Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/CauseOfDeath,1.1.0,draft,,CauseOfDeath,Cause of death Value Set,"Cause of death",,"THO"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/Chromosome,1.1.0,draft,,Chromosome,Chromosome Value Set,"Chromosome",,"LOINC,THO,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/CytoBand,1.1.0,draft,,CytoBand,CytoBand Value Set,"CytoBand",,"THO,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/DNAChangeType,1.1.0,draft,,DNAChangeType,DNA Change Type Value Set,"DNAChangeType",,"LOINC,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/FusionType,1.1.0,draft,,FusionType,Fusion Type Value Set,"Fusion Type",,"LOINC,Other"
